0,-7.37085e-06,0
0.0312596,-1.04855e-05,0
0.0625193,-2.76918e-06,9.60762e-302
0.0937789,1.02014e-05,1.5247e-266
0.125039,1.56801e-05,1.40014e-241
0.156298,5.72593e-06,3.1357e-222
0.187558,-1.31654e-05,1.96636e-206
0.218817,-2.34072e-05,4.33525e-193
0.250077,-1.19779e-05,1.52163e-181
0.281337,1.50604e-05,2.25227e-171
0.312596,3.41832e-05,2.73418e-162
0.343856,2.39584e-05,4.37486e-154
0.375116,-1.31102e-05,1.30967e-146
0.406375,-4.74191e-05,9.57072e-140
0.437635,-4.47292e-05,2.09948e-133
0.468894,1.9924e-06,1.62871e-127
0.500154,5.95945e-05,5.09949e-122
0.531414,7.65995e-05,7.17943e-117
0.562673,2.67219e-05,4.97059e-112
0.593933,-6.1333e-05,1.82407e-107
0.625193,-0.000117363,3.78038e-103
0.656452,-8.29713e-05,4.67086e-99
0.687712,3.43447e-05,3.60452e-95
0.718971,0.000153047,1.80888e-91
0.750231,0.000171125,6.1145e-88
0.781491,4.79411e-05,1.43585e-84
0.81275,-0.000148419,2.407e-81
0.84401,-0.000273585,2.95084e-78
0.87527,-0.00020767,2.70305e-75
0.906529,4.34924e-05,1.88603e-72
0.937789,0.000326143,1.01983e-69
0.969048,0.000426842,4.3406e-67
1.00031,0.000223467,1.47476e-64
1.03157,-0.00020351,4.05125e-62
1.06283,-0.000588797,9.10316e-60
1.09409,-0.000638377,1.69097e-57
1.12535,-0.0002355,2.62196e-55
1.15661,0.000440511,3.42394e-53
1.18787,0.000979679,3.79649e-51
1.21913,0.000976614,3.60136e-49
1.25039,0.00030504,2.94302e-47
1.28164,-0.000743439,2.08523e-45
1.3129,-0.00156789,1.28865e-43
1.34416,-0.00158317,6.98448e-42
1.37542,-0.000591262,3.33722e-40
1.40668,0.0010227,1.41241e-38
1.43794,0.00241407,5.31867e-37
1.4692,0.00269562,1.78944e-35
1.50046,0.00144761,5.40003e-34
1.53172,-0.000956246,1.46697e-32
1.56298,-0.00341469,3.59976e-31
1.59424,-0.00457382,8.00476e-30
1.6255,-0.00351117,1.6179e-28
1.65676,-0.000297424,2.98064e-27
1.68802,0.003868,5.01858e-26
1.71928,0.0070687,7.74198e-25
1.75054,0.00749473,1.09686e-23
1.7818,0.00433187,1.43035e-22
1.81306,-0.00169211,1.72045e-21
1.84432,-0.00839188,1.91254e-20
1.87558,-0.0128702,1.96863e-19
1.90684,-0.0126696,1.87962e-18
1.9381,-0.00688388,1.66748e-17
1.96936,0.00323301,1.37664e-16
2.00062,0.0144507,1.05927e-15
2.03188,0.0225373,7.60738e-15
2.06314,0.0237217,5.10611e-14
2.0944,0.0161446,3.2072e-13
2.12565,0.000780277,1.88742e-12
2.15691,-0.0185272,1.04187e-11
2.18817,-0.0359801,5.40048e-11
2.21943,-0.0454539,2.63131e-10
2.25069,-0.0423635,1.20629e-09
2.28195,-0.0252137,5.20807e-09
2.31321,0.00362987,2.11944e-08
2.34447,0.0381897,8.13662e-08
2.37573,0.070105,2.94906e-07
2.40699,0.0905335,1.00986e-06
2.43825,0.0922573,3.26946e-06
2.46951,0.0714852,1.00141e-05
2.50077,0.0289385,2.90364e-05
2.53203,-0.0300072,7.97472e-05
2.56329,-0.0961248,0.000207572
2.59455,-0.157881,0.000512298
2.62581,-0.203384,0.00119946
2.65707,-0.222334,0.00266535
2.68833,-0.207635,0.00562351
2.71959,-0.15639,0.0112697
2.75085,-0.070192,0.0214596
2.78211,0.0452791,0.0388403
2.81337,0.181206,0.0668378
2.84463,0.32692,0.109386
2.87589,0.471287,0.170296
2.90715,0.603987,0.25226
2.93841,0.716521,0.355614
2.96966,0.802858,0.477165
3.00092,0.8597,0.609511
3.03218,0.886403,0.741258
3.06344,0.884627,0.858369
3.0947,0.857803,0.946513
3.12596,0.810535,0.993911
3.15722,0.747998,0.993911
3.18848,0.675416,0.946513
3.21974,0.597641,0.858369
3.251,0.51887,0.741258
3.28226,0.442482,0.609511
3.31352,0.370986,0.477165
3.34478,0.306052,0.355614
3.37604,0.248613,0.25226
3.4073,0.198984,0.170296
3.43856,0.157011,0.109386
3.46982,0.122202,0.0668378
3.50108,0.0938576,0.0388403
3.53234,0.0711686,0.0214596
3.5636,0.0532974,0.0112697
3.59486,0.0394346,0.00562351
3.62612,0.0288369,0.00266535
3.65738,0.0208474,0.00119946
3.68864,0.0149044,0.000512298
3.7199,0.0105403,0.000207572
3.75116,0.00737522,7.97472e-05
3.78242,0.00510722,2.90364e-05
3.81367,0.00350089,1.00141e-05
3.84493,0.002376,3.26946e-06
3.87619,0.0015969,1.00986e-06
3.90745,0.00106304,2.94906e-07
3.93871,0.000701044,8.13662e-08
3.96997,0.000458072,2.11944e-08
4.00123,0.000296611,5.20807e-09
4.03249,0.000190358,1.20629e-09
4.06375,0.000121102,2.63131e-10
4.09501,7.63815e-05,5.40048e-11
4.12627,4.77689e-05,1.04187e-11
4.15753,2.96255e-05,1.88742e-12
4.18879,1.82218e-05,3.2072e-13
4.22005,1.11176e-05,5.10611e-14
4.25131,6.73036e-06,7.60738e-15
4.28257,4.04239e-06,1.05927e-15
4.31383,2.40746e-06,1.37664e-16
4.34509,1.42202e-06,1.66748e-17
4.37635,8.35432e-07,1.87962e-18
4.40761,4.89118e-07,1.96863e-19
4.43887,2.82823e-07,1.91254e-20
4.47013,1.58994e-07,1.72045e-21
4.50139,8.87956e-08,1.43035e-22
4.53265,5.37164e-08,1.09686e-23
4.56391,3.45078e-08,7.74198e-25
4.59517,1.70589e-08,5.01858e-26
4.62643,2.42964e-09,2.98064e-27
4.65768,1.46592e-10,1.6179e-28
4.68894,8.70422e-09,8.00476e-30
4.7202,1.1541e-08,3.59976e-31
4.75146,-1.00842e-09,1.46697e-32
4.78272,-1.41238e-08,5.40003e-34
4.81398,-6.62428e-09,1.78944e-35
4.84524,1.50595e-08,5.31867e-37
4.8765,1.90095e-08,1.41241e-38
4.90776,-7.1479e-09,3.33722e-40
4.93902,-3.00274e-08,6.98448e-42
4.97028,-1.12206e-08,1.28865e-43
5.00154,3.1958e-08,2.08523e-45
5.0328,3.76537e-08,2.94302e-47
5.06406,-1.50475e-08,3.60136e-49
5.09532,-6.08518e-08,3.79649e-51
5.12658,-2.54772e-08,3.42394e-53
5.15784,6.10829e-08,2.62196e-55
5.1891,8.04836e-08,1.69097e-57
5.22036,-1.7899e-08,9.10316e-60
5.25162,-1.20147e-07,4.05125e-62
5.28288,-7.25505e-08,1.47476e-64
5.31414,9.91996e-08,4.3406e-67
5.3454,1.76861e-07,1.01983e-69
5.37666,1.69752e-08,1.88603e-72
5.40792,-2.17765e-07,2.70305e-75
5.43918,-2.08291e-07,2.95084e-78
5.47043,1.05124e-07,2.407e-81
5.50169,3.64791e-07,1.43585e-84
